"","RAZZ_105_P1","RAZZ_110_P1","RAZZ_116_P1","RAZZ_127_P1","RAZZ_130_P1","RAZZ_137_P1","RAZZ_143_P1","RAZZ_157_P1","RAZZ_163_P1","RAZZ_166_P1","RAZZ_169_P1","RAZZ_199_P1","RAZZ_202_P1","RAZZ_203_P1","RAZZ_218_P1","RAZZ_223_P1","RAZZ_238_P1","RAZZ_241_P1","RAZZ_246_P1","RAZZ_247_P1","RAZZ_251_P1","RAZZ_258_P1","RAZZ_277_P1","RAZZ_287_P1","RAZZ_320_P1","RAZZ_338_P1","RAZZ_348_P1","RAZZ_352_P1","RAZZ_359_P1","RAZZ_360_P1","RAZZ_369_P1","RAZZ_379_P1","RAZZ_389_P1","RAZZ_419_P1","RAZZ_429_P1","RAZZ_447_P1","RAZZ_460_P1","RAZZ_462_P1"
"CMP",0,3.9673340964984e-18,1.96954878038051e-19,9.91062993188306e-21,0.0111449885689156,0,0.0374029504165372,0.0131093316288218,0.000482150569648393,0.0471178668271692,9.23141761740456e-18,0.00409650410222169,0,3.69256325770763e-19,4.25042055557549e-20,0.0722084714561286,0,0,6.25803110413874e-19,2.4382687690616e-19,0,0.106635233713935,0,0.07705643749674,0.0557959187664443,0.00501720700959361,6.62258610259825e-18,1.41750356827708e-18,7.10873480772095e-19,0.00598481198601073,0.104721030626219,0.0640797602579793,9.26181495079342e-19,0,1.42513433161519e-18,0,3.16778696949492e-18,0
"DC",5.99983096041034e-21,0,0.000701508290220617,0,0,0,1.92844520631871e-19,2.19846910889846e-19,0.00029832385137884,0,1.06013828955573e-21,3.73753360193572e-21,0,0.00334332099643617,0.00730540102908968,6.12626006598071e-19,0,2.14161543918886e-19,1.63823763951861e-19,0,0,2.883978048832e-19,0,0,5.6041941005439e-19,1.54254841587413e-18,3.20151424946949e-19,0,0,0,0,0,6.13834098872909e-20,0,0,1.58017623083834e-20,0.00613080732639977,3.60242828470792e-19
"Endothelial cells",0,3.79585247277857e-18,0.00148842884384952,8.85171770206727e-20,0,0,4.31784196797542e-18,0,0.0049276144071398,0,0,0.00103609990132105,0,0.000311075997448339,2.00982389951317e-18,0.0523790228572872,0.00465734019629355,1.78357976794947e-18,4.85340912252574e-19,1.37556614614498e-18,0.00953409462367792,0.0100389959142278,1.96723509698541e-18,0,0.0075944966196334,0.0314728187056853,0.0007846433761308,1.9521731174783e-19,0,0,0,0.0215724301231286,2.74229977708513e-18,0,0,3.30801309544767e-18,0,7.48423785411784e-21
"Eosinophils",0,0,6.74908447302936e-19,1.71061354152551e-18,0.000885557862459008,0,0.0348654526995906,0,0,0,0,0.00943898583448959,0,0,0,0.00201328443103806,3.41198145484918e-18,3.40063720164508e-19,0,0,0.00515931707117544,0.0285869847210104,0,0.0276938543987587,0.0959323981846641,2.35475419602882e-18,6.67394208002386e-18,0,2.7419123121192e-18,0,0.0671278917532195,0.069264075578222,0,1.25308804254718e-18,0,1.47082116026802e-18,4.7234378267453e-18,1.34516750758952e-18
"Epithelial cells",0.0107146138603455,0.0050896968224727,0.0116149974803283,0.0182279314731454,0,0.0119936650168216,0.0120010330144378,3.74705835472317e-21,0.0185349248531799,0.00550406764421143,0.00359648120466607,0,0.00698030390783489,0.00103478699288304,0.0125445092901279,0,0.00581036776914531,5.77468415996669e-19,0.0171651832029997,0,0.00692145760692783,0.0199735276432628,0.0114774830730849,0.0329061292229366,0.0124836157144696,0.000478947998740439,0.0013290080850581,0.00909764698661703,0.00348778893977838,0.00523183536369526,0.0137867210059896,0,5.36326084388907e-20,0.0148288989859216,0.00491284195004741,0.00375308788667677,0.000308940820328438,0.000895508504453215
"Erythrocytes",0.00199678880393319,0.00298291158111277,0.00444448351678476,0.00654414181173541,0.00247634350511056,0.00889006409245168,0.00326999082182325,0.0146196932007179,0.0107649693810698,0.00722998120713406,0.0141065589631296,0.0143053632133463,0.0113617805110812,0.0063775767741349,0.00891499635583625,0.00398467542603368,0.00980916148840848,0.00522273401176282,0.00604715464630508,0.0033738528825123,6.09376718008029e-05,2.88883753113752e-18,0.00212372393729589,0.00518377237220368,0,0,0.0145436254402488,0.0091921013652136,0,0.00590822556429803,0.000324372044664524,1.71338041373041e-18,0.00658879302454917,0.00179276326217486,0,0.00152044909979401,0.01146373578082,0.00261583848465686
"Fibroblasts",3.91586891393747e-18,1.90356373936017e-17,3.24854720277317e-17,1.41279094069701e-17,3.0718805756039e-19,2.08464955148615e-17,1.2986222325199e-18,0,2.27218344653467e-17,0,2.30870487945111e-17,1.92818511355117e-17,2.57699669156813e-17,1.35377274111779e-17,0,0.00383255105669178,1.09411007343006e-17,0,5.33764941344192e-18,8.63695713307662e-18,0,1.21788854552207e-17,0,0,0,0.00501406240295939,0,4.40895918766206e-17,2.64159974209188e-17,0,0,7.03932820484562e-19,1.91994202013345e-17,1.09418386976884e-17,0,1.62297949477312e-17,2.27678009344571e-17,0
"GMP",1.99272063730712e-17,0,0.00175848543032267,0.0121495403217868,0.0477289562493998,0,0.036197262003328,0,0.00834222509246607,0.000368821821878806,3.74056626983759e-18,0.00323981425171709,0,4.28912632065531e-18,0.0458380397628734,0.128433527936582,1.94430278503816e-17,2.06205042340933e-18,2.4102060495508e-18,8.10659259970065e-19,0.108215013491666,0.252932880061108,1.31426412119035e-17,0.089423639742775,0.29136933353218,0.125440662491193,1.11579952507073e-17,0,0,0.00376328602658671,0.171048718705628,0.279428200366336,0,0,0,2.7428691513171e-18,3.92152939772463e-18,7.51871411314561e-18
"Hepatocytes",4.06524492882677e-19,4.12850304222589e-18,3.97586848401866e-19,2.91729358784038e-19,0.00228777027411816,0,0,0,0,0,0,0,0,4.98628919712012e-19,2.85731896514218e-19,0.00210936213465939,0,0,2.00235826703504e-21,0,0,9.50750875411329e-19,0,1.02885409351275e-18,2.14098664675827e-18,1.88286421491176e-18,0,0,0,1.98467555140458e-19,0,4.14617941729552e-18,2.01083270443668e-18,1.62114079491869e-18,2.07656438984526e-18,3.05301658817218e-19,7.34108129409881e-19,0
"HSC",0.0521562788977903,0.0508137979940607,0.0343711981416816,0.0261841533653498,0.400003047445561,0.0235951543739271,0.0629342526205624,0.125908148314315,0.0306899859224143,0.377963320013246,0.0283207645927255,0.0197671685968957,0.0100281659790059,0.0531341840177468,0.0126832534972283,0.38685826051243,0.026227434917456,0.0361596636148195,0.0613874248488784,1.68996922260514e-18,0.2023734240879,0.147238614072497,0.0247346843304224,0,0.226541816369598,0.409577271705358,0.0763587846393649,0.0394087935387563,0.0107689176337461,0,0.0985576474410741,0.288476334423091,5.43523106228933e-20,0.00963815264823348,0.0252414660722993,0,0.0392551566765777,0.0564953308609646
