"","RAZZ_105_P1","RAZZ_110_P1","RAZZ_116_P1","RAZZ_127_P1","RAZZ_130_P1","RAZZ_137_P1","RAZZ_143_P1","RAZZ_157_P1","RAZZ_163_P1","RAZZ_166_P1","RAZZ_169_P1","RAZZ_199_P1","RAZZ_202_P1","RAZZ_203_P1","RAZZ_218_P1","RAZZ_223_P1","RAZZ_238_P1","RAZZ_241_P1","RAZZ_246_P1","RAZZ_247_P1","RAZZ_251_P1","RAZZ_258_P1","RAZZ_277_P1","RAZZ_287_P1","RAZZ_320_P1","RAZZ_338_P1","RAZZ_348_P1","RAZZ_352_P1","RAZZ_359_P1","RAZZ_360_P1","RAZZ_369_P1","RAZZ_379_P1","RAZZ_389_P1","RAZZ_419_P1","RAZZ_429_P1","RAZZ_447_P1","RAZZ_460_P1","RAZZ_462_P1"
"Mast cells",1,0.02279,0.00860000000000005,0.201856666666667,1,0.185716666666667,1,0.0922500000000001,1,1,0.61611,0.09849,0.188573333333333,1,1,1,0.109936666666667,0.353473333333333,0.244666666666667,0.456236666666667,0,1,1,0.240973333333333,0,1,0.765593333333333,0.0210033333333334,1,0.228826666666667,0.882643333333333,1,0.108153333333333,1,1,0.58614,0.869406666666667,0.529893333333333
"Megakaryocytes",0.61838,0.246383333333333,0.248336666666667,0.24363,0.00350666666666666,0.664563333333333,1,1,0.1504,0,0.653006666666667,1,0.177363333333333,1,0.1844,0.0125333333333333,0.194353333333333,0.666666666666667,0.666666666666667,1,0.05344,0.236256666666667,0.203093333333333,0.623253333333333,0.0586866666666667,0,0.19564,0.64778,0.624183333333333,0.25796,1,0,0.24969,0.608233333333333,0.620156666666667,0.20511,0.0851233333333333,0.180793333333333
"Melanocytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
"Memory B-cells",0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0.666666666666667,0,0,0,0,0.666666666666667,0.666666666666667,0.666666666666667,0,0.666666666666667,0.666666666666667,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0
"MEP",0.13707,0.111063333333333,0.20583,0.166163333333333,1,0.136396666666667,1,0.151726666666667,0.130956666666667,0.236396666666667,0.203993333333333,0.17398,0.132273333333333,0.12226,0.23431,0.343776666666667,0.129296666666667,0.145936666666667,0.0694900000000001,0.16815,0.598696666666667,1,0.163746666666667,0.25952,1,1,0.0561966666666667,0.145643333333333,0.241036666666667,0.392816666666667,1,1,0.40232,0.23542,0.25727,0.237506666666667,0.117516666666667,0.209766666666667
"Mesangial cells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.33333333335517e-06,0.184533333333333,1,1,1,1,1,0,1,1,1,1,1,1
"Monocytes",1,1,0.117733333333333,0.0948,0.930573333333333,0.167273333333333,0.241176666666667,1,0.0350766666666666,1,0.28117,0.115076666666667,0.0137433333333333,0.178786666666667,0.0541,1,0.223526666666667,0.192063333333333,1,0.248453333333333,1,0.23944,0.345113333333333,0.191476666666667,0.266063333333333,0.351203333333333,1,0.146023333333333,1,0.112716666666667,1,1,0.2264,1,0.430103333333333,0.157186666666667,0.0796733333333334,1
"MPP",0.666666666666667,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,1,1,1,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0.128153333333333,0.666666666666667,0.254063333333333,0.666666666666667,0.666666666666667,1,1,1,1,1,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"MSC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05838,0,0,0.0652166666666667,0.308483333333333,0,0,0,0,0,0.0245,0,0,0,0,0,0
"mv Endothelial cells",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.446866666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Myocytes",1,1,0.455963333333333,1,0.159366666666667,0.515316666666667,0.561906666666667,0.25773,0.20757,1,1,1,0.544396666666667,0.930536666666667,0.978013333333333,0.0906166666666667,1,1,0.996743333333333,1,1,1,0.558743333333333,0.45452,1,1,0.293703333333333,0.946666666666667,0.542693333333333,0.404323333333333,1,0.0832933333333333,0.98507,0.564876666666667,1,1,1,0.5417
"naive B-cells",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
"Neurons",1,1,0.333333333333333,0,0,1,1,1,0.333333333333333,0,0.333333333333333,0,1,0.333333333333333,0.333333333333333,0,1,1,1,0.333333333333333,0,0.333333333333333,1,1,0,0,1,1,0.333333333333333,1,1,0,1,1,0.333333333333333,0.333333333333333,0.333333333333333,1
